|                                                                                               TITILE |  YEAR |                                           DIRECTOR |                                                                                                STARS |  RATE |                                            REFLINK |
|                                                                                 Skazani na Shawshank |  1994 |                                     Frank Darabont |                                                      ('Tim Robbins', 'Morgan Freeman', 'Bob Gunton') |   9.2 |              https://www.imdb.com/title/tt0111161/ |
|                                                                                     Ojciec chrzestny |  1972 |                               Francis Ford Coppola |                                                         ('Marlon Brando', 'Al Pacino', 'James Caan') |   9.1 |              https://www.imdb.com/title/tt0068646/ |
|                                                                                  Ojciec chrzestny II |  1974 |                               Francis Ford Coppola |                                                     ('Al Pacino', 'Robert De Niro', 'Robert Duvall') |   9.0 |              https://www.imdb.com/title/tt0071562/ |
|                                                                                       Mroczny rycerz |  2008 |                                  Christopher Nolan |                                                  ('Christian Bale', 'Heath Ledger', 'Aaron Eckhart') |   9.0 |              https://www.imdb.com/title/tt0468569/ |
|                                                                             Dwunastu gniewnych ludzi |  1957 |                                       Sidney Lumet |                                                      ('Henry Fonda', 'Lee J. Cobb', 'Martin Balsam') |   8.9 |              https://www.imdb.com/title/tt0050083/ |
|                                                                                     Lista Schindlera |  1993 |                                   Steven Spielberg |                                                     ('Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley') |   8.9 |              https://www.imdb.com/title/tt0108052/ |
|                                                                      Władca pierścieni: Powrót króla |  2003 |                                      Peter Jackson |                                                   ('Elijah Wood', 'Viggo Mortensen', 'Ian McKellen') |   8.9 |              https://www.imdb.com/title/tt0167260/ |
|                                                                                         Pulp Fiction |  1994 |                                  Quentin Tarantino |                                                ('John Travolta', 'Uma Thurman', 'Samuel L. Jackson') |   8.8 |              https://www.imdb.com/title/tt0110912/ |
|                                                                                 Dobry, zły i brzydki |  1966 |                                       Sergio Leone |                                                   ('Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef') |   8.8 |              https://www.imdb.com/title/tt0060196/ |
|                                                               Władca pierścieni: Drużyna Pierścienia |  2001 |                                      Peter Jackson |                                                     ('Elijah Wood', 'Ian McKellen', 'Orlando Bloom') |   8.8 |              https://www.imdb.com/title/tt0120737/ |
|                                                                                       Podziemny krąg |  1999 |                                      David Fincher |                                                          ('Brad Pitt', 'Edward Norton', 'Meat Loaf') |   8.8 |              https://www.imdb.com/title/tt0137523/ |
|                                                                                         Forrest Gump |  1994 |                                    Robert Zemeckis |                                                         ('Tom Hanks', 'Robin Wright', 'Gary Sinise') |   8.8 |              https://www.imdb.com/title/tt0109830/ |
|                                                                                             Incepcja |  2010 |                                  Christopher Nolan |                                          ('Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page') |   8.7 |              https://www.imdb.com/title/tt1375666/ |
|                                                      Gwiezdne wojny: Część V - Imperium kontratakuje |  1980 |                                     Irvin Kershner |                                                    ('Mark Hamill', 'Harrison Ford', 'Carrie Fisher') |   8.7 |              https://www.imdb.com/title/tt0080684/ |
|                                                                        Władca pierścieni: Dwie wieże |  2002 |                                      Peter Jackson |                                                   ('Elijah Wood', 'Ian McKellen', 'Viggo Mortensen') |   8.7 |              https://www.imdb.com/title/tt0167261/ |
|                                                                                               Matrix |  1999 |                                     Lana Wachowski |                                           ('Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss') |   8.6 |              https://www.imdb.com/title/tt0133093/ |
